datetime_utc_from;consumption_MWh;spot_ch_eurpmwh;temperature_celsius;global_radiation_J
2023-01-04T20:00Z;45.324842;149.070000;8.500000;0.000000
2023-01-04T21:00Z;43.578500;148.570000;9.500000;0.000000
2023-01-04T22:00Z;40.815770;144.520000;9.100000;0.000000
2023-01-04T23:00Z;39.600056;124.960000;9.700000;0.000000
2023-01-05T00:00Z;39.733239;110.550000;9.000000;0.000000
2023-01-05T01:00Z;38.970847;111.240000;8.900000;0.000000
2023-01-05T02:00Z;39.449632;110.040000;8.700000;0.000000
2023-01-05T03:00Z;38.781489;109.410000;8.700000;0.000000
2023-01-05T04:00Z;38.791970;108.780000;8.800000;0.000000
2023-01-05T05:00Z;43.921839;112.110000;8.900000;0.000000
2023-01-05T06:00Z;53.234065;121.980000;9.100000;0.000000
2023-01-05T07:00Z;61.168089;129.950000;8.300000;0.000000
2023-01-05T08:00Z;64.956775;142.560000;7.900000;15328.200000
2023-01-05T09:00Z;63.946539;146.720000;7.800000;102226.200000
2023-01-05T10:00Z;63.907673;143.070000;8.600000;110460.000000
2023-01-05T11:00Z;61.725154;145.880000;9.800000;244080.000000
2023-01-05T12:00Z;57.831769;146.540000;10.900000;355206.000000
2023-01-05T13:00Z;59.747127;146.570000;11.700000;721164.000000
2023-01-05T14:00Z;60.090642;154.180000;12.200000;836538.000000
2023-01-05T15:00Z;61.528041;156.390000;12.200000;429726.000000
2023-01-05T16:00Z;59.632341;159.960000;11.000000;68209.200000
2023-01-05T17:00Z;54.000688;177.530000;10.000000;0.000000
2023-01-05T18:00Z;49.377533;180.100000;9.600000;0.000000
2023-01-05T19:00Z;46.660726;174.240000;8.900000;0.000000
2023-01-05T20:00Z;44.652331;166.480000;8.300000;0.000000
2023-01-05T21:00Z;42.627592;153.620000;7.000000;0.000000
2023-01-05T22:00Z;40.328924;143.300000;6.400000;0.000000
2023-01-05T23:00Z;39.798803;125.230000;5.900000;0.000000
2023-01-06T00:00Z;38.960557;110.860000;5.500000;0.000000
2023-01-06T01:00Z;39.361492;105.480000;5.100000;0.000000
2023-01-06T02:00Z;39.116135;103.740000;4.700000;0.000000
2023-01-06T03:00Z;39.264803;102.780000;4.400000;0.000000
2023-01-06T04:00Z;39.997911;102.250000;4.000000;0.000000
2023-01-06T05:00Z;44.364597;106.810000;3.600000;0.000000
2023-01-06T06:00Z;52.582489;115.530000;3.200000;0.000000
2023-01-06T07:00Z;61.545011;141.330000;2.900000;0.000000
2023-01-06T08:00Z;64.243882;141.170000;3.600000;41617.200000
2023-01-06T09:00Z;63.336563;141.650000;5.200000;431538.000000
2023-01-06T10:00Z;63.453833;140.490000;6.800000;734358.000000
2023-01-06T11:00Z;60.742491;142.560000;8.000000;1057422.000000
2023-01-06T12:00Z;56.009402;135.310000;8.900000;1187748.000000
